Filename,Segment label,Maximum pitch (Hz),Minimum pitch (Hz),mean,median,stdev,altqb,dur
test1,N,310.0133904741527,197.22778250758336,243.5668389231315,237.84256472764233,39.74470114848098,197.66583355568292,0.15156720633229695
test1,S,290.42097361218714,187.0964960958712,237.77402400044042,236.512327021604,28.070828607714315,191.122508487479,0.9556935921416097
test1,UM,241.40661331928834,194.31106514325896,202.85925882810474,202.00014297042517,7.162041709243713,197.54819723142063,1.9287677042946156
test1,P,207.60219443031212,207.60219443031212,207.60219443031212,--undefined--,--undefined--,--undefined--,2.8511128342974645
test1,S,302.9911506960061,178.8634949590142,214.308412369437,202.9640080649216,35.78734595643986,180.93837834255635,3.82418694645047
test1,N,449.91537648926675,434.41132352904805,442.1633500091574,442.1633500091574,10.96302098404601,429.0283163412601,5.769715430638309
test2,S,692.5301065340726,98.95094660538227,239.9509285241792,220.5415986764463,108.85381169608222,171.33336151990775,1.319083344000022
test2,P,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,3.74492307184118
test2,S,257.88384287424174,182.38577230068574,195.8058155023835,192.99940631002386,13.824538208184341,184.95141150345836,5.224294831404382
test2,P,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,5.825358919622715
test2,S,620.8657383698026,107.46211223279663,285.2614505176623,196.76082167862128,205.4087517499089,119.02591004440067,6.229025576654953
test2,N,454.7956004581174,450.82637568413,452.9255799094539,453.30324756262115,1.9381665827708399,450.15563877943464,6.734121760595462
